survey_year,gender,age,citizenship_status,place_birth,parent_nativity,immigrant_generation,hispanic_origin,language_home,political_party,education,income,employment,marital_status,religion,geography,immigration_attitude,political_trust,vote_intention
2002,NA,49,1,2,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,1,2,1,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,1,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,76,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
