gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
0,18,NA,11,NA,NA,5,NA,2,NA,1,NA,1,NA,NA
0,47,NA,11,NA,NA,5,NA,1,2,2,NA,1,NA,NA
1,25,NA,3,NA,NA,13,NA,2,NA,1,NA,0.5,NA,NA
1,NA,NA,NA,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,20,NA,3,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,45,NA,24,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,32,NA,14,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,26,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,24,NA,23,NA,NA,3,NA,1,1,3,NA,NA,NA,NA
0,34,NA,23,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,24,NA,12,NA,NA,4,NA,1,3,2,NA,1,NA,NA
0,56,NA,22,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,84,NA,2,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA
0,24,NA,2,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,22,NA,13,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,26,NA,12,NA,NA,13,NA,1,3,2,NA,1,NA,NA
1,21,NA,11,NA,NA,36,NA,1,3,2,NA,1,NA,NA
0,56,NA,NA,NA,NA,4,NA,1,2,2,NA,0.5,NA,NA
1,32,NA,12,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,75,NA,2,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,24,NA,21,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,45,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,21,NA,NA,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,47,NA,6,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,31,NA,6,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,49,NA,22,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,65,NA,3,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,23,NA,3,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
0,38,NA,23,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,45,NA,14,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,63,NA,11,NA,NA,28,NA,2,NA,1,NA,0.5,NA,NA
0,75,NA,3,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,47,NA,4,NA,NA,38,NA,2,NA,1,NA,1,NA,NA
0,22,NA,21,NA,NA,28,NA,1,1,3,NA,1,NA,NA
1,26,NA,6,NA,NA,9,NA,1,1,3,NA,1,NA,NA
1,51,NA,25,NA,NA,9,NA,1,1,3,NA,1,NA,NA
0,21,NA,12,NA,NA,3,NA,2,NA,1,NA,1,NA,NA
0,19,NA,21,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
1,21,NA,11,NA,NA,40,NA,2,NA,1,NA,1,NA,NA
1,27,NA,3,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
0,64,NA,22,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,40,NA,5,NA,NA,4,NA,1,3,2,NA,0.5,NA,NA
0,56,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,27,NA,5,NA,NA,40,NA,1,2,2,NA,0.5,NA,NA
0,NA,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,35,NA,12,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,29,NA,22,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,56,NA,14,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,19,NA,1,NA,NA,15,NA,1,1,3,NA,1,NA,NA
0,36,NA,3,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,19,NA,22,NA,NA,36,NA,1,2,2,NA,0.5,NA,NA
0,60,NA,23,NA,NA,36,NA,1,2,2,NA,1,NA,NA
1,72,NA,2,NA,NA,26,NA,1,2,2,NA,0.5,NA,NA
1,42,NA,22,NA,NA,26,NA,1,1,3,NA,NA,NA,NA
0,42,NA,NA,NA,NA,40,NA,1,1,3,NA,1,NA,NA
0,53,NA,5,NA,NA,13,NA,1,3,2,NA,1,NA,NA
1,33,NA,5,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,73,NA,12,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA
0,56,NA,1,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,26,NA,2,NA,NA,6,NA,2,NA,1,NA,1,NA,NA
1,45,NA,6,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA
0,45,NA,1,NA,NA,25,NA,1,NA,NA,NA,0.5,NA,NA
1,19,NA,12,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,62,NA,21,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
1,21,NA,1,NA,NA,29,NA,2,NA,1,NA,1,NA,NA
1,24,NA,3,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,26,NA,NA,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,32,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,59,NA,13,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
0,19,NA,NA,NA,NA,40,NA,1,1,3,NA,1,NA,NA
0,35,NA,23,NA,NA,25,NA,1,3,2,NA,1,NA,NA
1,28,NA,4,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,39,NA,6,NA,NA,9,NA,1,1,3,NA,0.5,NA,NA
0,35,NA,4,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,34,NA,22,NA,NA,36,NA,1,2,2,NA,1,NA,NA
0,58,NA,3,NA,NA,28,NA,2,NA,1,NA,0.5,NA,NA
1,33,NA,25,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,51,NA,14,NA,NA,36,NA,1,1,3,NA,0.5,NA,NA
1,29,NA,5,NA,NA,26,NA,1,1,3,NA,1,NA,NA
0,36,NA,23,NA,NA,26,NA,1,1,3,NA,1,NA,NA
0,62,NA,NA,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
0,33,NA,5,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,25,NA,11,NA,NA,36,NA,2,NA,1,NA,0.5,NA,NA
1,52,NA,22,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,30,NA,6,NA,NA,37,NA,2,NA,1,NA,1,NA,NA
0,30,NA,23,NA,NA,28,NA,2,NA,1,NA,0.5,NA,NA
0,32,NA,1,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,43,NA,6,NA,NA,9,NA,1,3,2,NA,1,NA,NA
0,59,NA,NA,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,46,NA,22,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,24,NA,25,NA,NA,4,NA,1,3,2,NA,1,NA,NA
1,58,NA,6,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
