survey_year,immigration_levels_opinion,legalization_support,deportation_worry,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,political_party
2002,3,0,NA,2,NA,1,11,1,1,13,NA,NA,NA,NA,1
2002,1,1,NA,2,NA,1,6,3,2,13,1,2,3,1,1
2002,2,NA,NA,2,NA,1,NA,1,1,4,2,1,NA,1,3
2002,1,1,NA,2,NA,3,5,1,3,13,2,1,NA,1,1
2002,NA,1,NA,1,NA,2,14,1,1,9,1,1,NA,1,2
2002,2,1,NA,2,NA,1,4,3,2,33,1,1,NA,1,1
2002,1,1,NA,2,NA,3,4,1,1,9,1,2,1,2,3
2002,2,1,NA,1,NA,3,4,3,1,9,1,1,NA,1,1
2002,3,0,NA,1,NA,2,21,1,3,42,NA,NA,NA,NA,1
2002,3,1,NA,2,NA,1,4,1,1,42,1,1,NA,1,2
2002,3,1,NA,1,NA,1,12,1,1,42,2,1,NA,1,3
2002,3,1,NA,2,NA,1,6,3,1,42,1,2,1,3,3
2002,1,1,NA,2,NA,3,23,1,2,4,1,2,1,3,2
2002,1,1,NA,2,NA,1,4,3,1,9,2,1,NA,1,3
2002,3,1,NA,2,NA,1,NA,1,3,9,1,1,NA,1,2
2002,1,1,NA,1,NA,3,5,5,3,9,1,2,3,2,2
2002,3,1,NA,2,NA,2,6,3,1,9,2,1,NA,1,2
2002,2,1,NA,2,NA,1,5,3,3,9,2,1,NA,1,NA
2002,3,NA,NA,2,NA,1,3,3,1,33,1,2,3,1,1
2002,1,1,NA,2,NA,2,6,3,1,9,2,1,NA,1,3
2002,3,0,NA,2,NA,1,2,5,3,9,1,2,2,2,NA
2002,3,0,NA,1,NA,2,3,1,3,42,NA,NA,NA,NA,2
2002,1,1,NA,1,NA,3,1,1,1,9,2,1,NA,1,NA
2002,1,1,NA,2,NA,1,6,2,2,42,2,1,NA,1,3
2002,3,0,NA,2,NA,3,NA,1,1,42,NA,NA,NA,NA,3
2002,1,1,NA,2,NA,1,2,1,3,42,NA,NA,NA,NA,3
2002,3,1,NA,2,NA,1,24,1,2,4,2,1,NA,1,1
2002,3,1,NA,2,NA,1,3,1,1,42,1,2,3,1,2
