gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,47,3,11,1,1,NA,1,1,3,2,3,NA,1,3
1,34,3,22,1,1,NA,0,2,3,1,1,NA,4,2
0,60,1,4,4,2,NA,0,2,3,1,3,NA,2,NA
0,80,1,NA,3,2,NA,1,1,3,2,NA,NA,1,2
1,53,3,23,4,1,NA,NA,NA,1,NA,1,NA,4,1
1,36,1,11,1,1,NA,0,2,3,1,3,NA,2,NA
1,55,1,5,1,1,NA,0,1,3,2,1,NA,4,3
1,27,4,12,NA,1,NA,0,1,3,2,3,NA,2,3
0,NA,1,6,1,2,NA,NA,1,1,3,1,NA,3,3
0,36,1,6,1,1,NA,1,1,3,2,1,NA,2,3
0,71,NA,NA,3,NA,NA,1,1,3,2,1,NA,2,2
1,60,1,6,1,1,NA,0,1,3,2,1,NA,1,3
0,27,3,2,1,1,NA,0,1,3,2,1,NA,1,NA
1,76,1,1,1,2,NA,1,1,3,2,3,NA,1,1
1,54,4,11,1,1,NA,0,1,3,2,3,NA,1,3
1,63,4,11,4,1,NA,0,2,3,1,2,NA,1,3
0,34,1,11,1,2,NA,1,1,3,2,3,NA,2,2
0,26,3,6,1,1,NA,1,2,3,1,3,NA,4,2
0,43,1,14,1,1,NA,1,1,3,2,1,NA,1,NA
1,45,3,6,4,1,NA,0,2,3,1,NA,NA,2,3
1,19,1,4,NA,1,NA,0,1,3,2,2,NA,1,NA
0,23,1,NA,NA,2,NA,0,2,3,1,3,NA,1,NA
0,59,1,3,1,2,NA,NA,1,1,3,3,NA,NA,2
0,30,1,4,1,2,NA,0,1,3,2,3,NA,1,1
0,42,1,1,2,1,NA,0,1,3,2,3,NA,4,3
1,30,4,NA,NA,2,NA,NA,2,1,1,3,NA,3,1
0,23,1,1,2,2,NA,0,1,3,2,1,NA,1,3
0,40,1,11,1,2,NA,0,2,3,1,1,NA,4,3
0,25,1,3,2,1,NA,0,1,3,2,NA,NA,2,NA
1,30,1,11,1,1,NA,0,1,3,2,3,NA,1,3
0,28,1,2,1,2,NA,0,1,3,2,2,NA,1,3
1,21,1,4,NA,1,NA,1,1,3,2,2,NA,4,2
0,42,1,11,1,1,NA,1,1,3,2,1,NA,1,2
1,31,4,6,1,1,NA,0,2,3,1,2,NA,1,3
1,47,4,22,1,1,NA,1,2,3,1,1,NA,4,1
1,34,1,3,1,1,NA,0,2,3,1,1,NA,2,2
1,32,1,6,1,1,NA,0,2,3,1,3,NA,4,3
0,34,1,6,1,1,NA,1,1,3,2,3,NA,1,3
0,67,1,5,1,2,NA,1,2,3,1,1,NA,1,1
0,24,1,3,NA,1,NA,0,1,3,2,1,NA,2,3
1,31,1,3,1,1,NA,0,1,3,2,1,NA,1,NA
1,29,1,5,2,2,NA,0,2,3,1,1,NA,1,3
1,75,3,4,1,2,NA,0,1,3,2,1,NA,3,3
1,63,1,3,1,2,NA,1,2,3,1,1,NA,1,3
1,52,4,23,1,1,NA,NA,1,1,3,1,NA,4,1
1,48,3,22,1,1,NA,NA,1,2,2,3,NA,2,3
1,75,NA,26,1,1,NA,NA,2,1,1,3,NA,4,2
1,28,4,24,1,1,NA,NA,2,3,1,3,NA,4,NA
1,33,1,6,1,1,NA,0,2,3,1,3,NA,4,3
0,59,3,14,4,1,NA,NA,2,3,1,2,NA,4,2
0,37,1,4,1,2,NA,0,2,3,1,1,NA,1,NA
1,55,NA,3,1,2,NA,0,1,3,2,1,NA,4,1
1,36,3,22,NA,2,NA,NA,1,1,3,2,NA,4,2
1,25,1,12,1,1,NA,0,1,3,2,1,NA,4,2
1,45,1,11,NA,2,NA,NA,1,1,3,1,NA,4,NA
0,36,1,5,1,1,NA,0,1,3,2,3,NA,1,3
0,22,1,12,1,1,NA,0,1,3,2,1,NA,2,NA
0,27,1,3,2,1,NA,0,2,3,1,1,NA,1,3
0,67,1,NA,2,2,NA,0,2,3,1,3,NA,3,1
